,shear,Neat_shear,diff,diff_se,filler diff,filler diff_se,polymer_diff,polymer_diff_se
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04999999548812634,0.05000000091529561,0.2113943594670832,0.0013919974526302565,0.12237069263576832,0.0014539227400024138,0.12500827287456306,0.0007042186649197915
2,0.15009999524297127,0.15010000089578704,0.33689303104589924,0.001723059169403791,0.1491131340334878,0.0007817953151029876,0.26341613046325985,0.0024859974984814447
3,0.25019999504594703,0.2502000008825772,0.3590156633865839,0.002675552303679628,0.11473714344007503,0.0017307173510086875,0.3440239186359162,0.002534045658337041
4,0.3500999948340282,0.35020000083859426,0.35933308242091727,0.002674195505385427,0.08660424115169481,0.0013750157184847357,0.3865797244347589,0.0030840680140627095
5,0.4499999945136516,0.45010000085992324,0.3671592182680578,0.004625141780581396,0.07248515102589836,0.0030706076259972314,0.42015458680261397,0.0038337495954389273
6,0.5499999944066116,0.5501000008694218,0.3795548275119696,0.006127501731151575,0.061997774190053784,0.0022363128173309645,0.45527399133851265,0.006875292421008062
7,0.6499999940742954,0.6501000009612546,0.36918781753829855,0.00635240351351599,0.04385324844890546,0.003042514294824485,0.4700239645406153,0.006033266358708937
8,0.7499999941136938,0.7500000009015046,0.358168290115844,0.007728897107251111,0.033869792938443326,0.003618443488674147,0.4731195432244442,0.006472481459129688
9,0.8499999935504383,0.8500000008767653,0.3628489659098085,0.011322770509325737,0.0385595541870439,0.004430714227573339,0.4777247611413918,0.009540684934575062
10,0.9500999933597153,0.9501000008842141,0.37004344618997664,0.009152659584558619,0.03331736268176217,0.004425322943223883,0.499683448772904,0.010519524871329093
11,1.0500999934596706,1.0500999987482262,0.36732641375040015,0.01151518342367032,0.028287685986952176,0.007895283573183193,0.5085588380756597,0.00990914750547066
12,1.1500999928819113,1.150100000991727,0.36489178945756046,0.010940181754103542,0.022549442068389856,0.007288952483545586,0.5191271827420453,0.007462516464470818
13,1.2500999928105885,1.250200004852247,0.3691211053634356,0.00498708758257526,0.018458772105847152,0.002041559557316471,0.5369389237908695,0.005440521343775225
14,1.3499999925928252,1.350100002088672,0.3799884145510843,0.005743161726253397,0.020780868128910463,0.004601649884156405,0.5555805629561751,0.003900769050739025
15,1.4500999923337898,1.4499999992711814,0.37452412521789746,0.01213442179561906,0.015603918519201065,0.00653816935020721,0.5630825312966989,0.009539114854874626
16,1.5500999922320606,1.5500999963011224,0.3734282624977137,0.011178019445811914,0.010091672654194049,0.005706840968081838,0.5774471711409442,0.01053660076617238
17,1.6499999919168853,1.6501000033274462,0.38413652394537356,0.009462082630353868,0.013102253241948289,0.004928339803591882,0.5973977534625664,0.010299624440948257
18,1.7499999918605538,1.7500000044120192,0.37604991594983755,0.0024292402350973618,0.0021009833483095573,0.006192506224947754,0.6114421536873713,0.009361253884873678
19,1.849999991522589,1.8501000014599953,0.36109491780699887,0.010458921653254455,-0.01346170302331564,0.00617127701838181,0.6236523034425049,0.01370648752381605
20,1.9499999910156296,1.9500999982030565,0.3639930566969107,0.01365366697257206,-0.01617203090303362,0.004246580977485505,0.643565318720445,0.019379623274705448
