# data from N. Warasitthinon and C. G. Robertson, “INTERPRETATION OF THE TANδ PEAK HEIGHT FOR PARTICLE-FILLED RUBBER AND POLYMER NANOCOMPOSITES WITH RELEVANCE TO TIRE TREAD PERFORMANCE BALANCE,” Rubber Chemistry and Technology, vol. 91, no. 3, pp. 577–594, Jul. 2018, doi: 10.5254/rct.18.82608
strain stress
0.0 0.0
1.6653590109367684 0.48275631748088443
4.330599144079898 0.8396734823268375
9.128031383737529 1.196590647172787
14.40520684736093 1.4949621110657425
19.682382310984323 1.7409598605519605
24.959557774607717 1.9488676359241808
30.23673323823111 2.145665835513153
35.513908701854504 2.3297673770641296
40.7910841654779 2.5138689186151026
46.068259629101306 2.7090800359493272
51.3454350927247 2.8979428242645504
56.62261055634809 3.0995022706177693
61.899786019971486 3.3153454572637386
67.17696148359488 3.542298219692956
72.45413694721827 3.7835347224149274
77.73131241084167 4.039054965429639
83.00848787446506 4.3136201955013505
88.28566333808845 4.605643330375312
93.56283880171185 4.910363123287269
98.84001426533527 5.227779574237225
104.11718972895866 5.564241012244178
109.39436519258206 5.911812026034379
114.67154065620545 6.27684094462683
119.94871611982884 6.652979439002525
124.98601997146935 7.024039270163023
130.02332382310988 7.41160475677292
134.9952081442096 7.782982004384369
139.61818830242512 8.166174197670063
144.17574893009987 8.535893826037665
148.73330955777465 8.91686410416671
153.0509985734665 9.28154033781366
157.36868758915838 9.64039726985986
161.92624821683313 10.023307315189157
166.33988587731815 10.382940154115458
171.0631759823629 10.765109561059203
175.3590584878745 11.177274822617722
179.91661911554925 11.564646332507593
184.37823109843086 11.913998405272569
188.551997146933 12.282360196599992
193.10955777460774 12.661196730808765
197.66711840228248 13.042748939097887
202.22467902995723 13.417124008746084
206.82221825962912 13.770646580991597
211.97218908053438 14.209078053866225
216.61697574893012 14.602515744818694
221.12656205420828 14.948182259903197
225.7320970042796 15.339239327473543
230.76940085592017 15.727915771661763
235.6540591362988 16.086596361235213
240.84400855920117 16.494476500705908
245.88131241084167 16.86506020718998
250.91861626248223 17.2467534894573
256.19579172610565 17.629240312851998
261.2330955777461 17.9806203240536
266.27039942938666 18.3370789984704
271.54757489301005 18.708456246081848
276.82475035663344 19.04967893085305
282.05831279989627 19.41946909620975
285.9398716119829 19.7795604255652
290.34478666839584 20.1257206995734
294.8151212553496 20.529474425181746
299.85242510699004 20.885933099598546
305.12960057061343 21.225568702114998
309.6871611982882 21.489222741685303
