,shear,Neat_shear,Neat,Neat_se,Filled,Filled_se,Total,Total_se,Polymer,Polymer_se,Filler,Filler_se
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04999999548812634,0.05000000091529561,0.21091635704820255,0.0012483007346428927,0.22196740454346234,0.001391997452630256,-0.0033594007207371347,2.8696513256356116e-06,-0.049298440560614075,0.00040372539819325383,0.04621733782148068,0.0004017736847671449
2,0.15009999524297127,0.15010000089578704,0.33666546106742407,0.001607354864495815,0.3584546191453559,0.0017230591694037917,-0.003370451351291536,3.848963853649211e-06,-0.11240505485322605,0.001219332947556155,0.10931381892371717,0.0012194475692833054
3,0.25019999504594703,0.2502000008825772,0.35883648183568834,0.0028248780925282857,0.3908050193520159,0.0026755523036796343,-0.00337335614947098,2.116154859560458e-06,-0.1513128521962218,0.0010454497407617138,0.14821895003581165,0.001047001301534629
4,0.3500999948340282,0.35020000083859426,0.3593469108268674,0.002462087190449003,0.401717145046091,0.002674195505385423,-0.0033796097873977113,1.1494820546591624e-06,-0.17165598456252265,0.0013995774579603072,0.16855634704319947,0.0013990021751581207
5,0.4499999945136516,0.45010000085992324,0.3671479362066823,0.004425468904907551,0.4197878561995681,0.0046251417805813905,-0.0033817273504299305,4.131595663681547e-06,-0.18688157464610614,0.001519949996254374,0.18377999654943125,0.001520410896650023
6,0.5499999944066116,0.5501000008694218,0.3794355095134952,0.006061251554492624,0.44316094104880976,0.006127501731151574,-0.0033926770385573966,3.1771874717671753e-06,-0.20211108827956645,0.003437961707495397,0.19899946526458498,0.003436773324056821
7,0.6499999940742954,0.6501000009612546,0.37008759942241526,0.006588680786085055,0.4443183892205114,0.0063524035135159845,-0.0033937878257269895,2.813783834514122e-06,-0.20794800139287398,0.0031598050553815226,0.2048353612679504,0.0031599904883700004
8,0.7499999941136938,0.7500000009015046,0.35922516392359966,0.007717884425395095,0.44577927290059055,0.007728897107251104,-0.003398924145146635,2.7363061695969806e-06,-0.20798675710707346,0.0033827942209494477,0.20486940466709325,0.0033819245259226866
9,0.8499999935504383,0.8500000008767653,0.36347063002880553,0.010898052780246335,0.4632486255028649,0.011322770509325732,-0.003409114018602038,2.012462856606046e-06,-0.20867264233714888,0.005225214962362591,0.20554594400992943,0.005225708459130938
10,0.9500999933597153,0.9501000008842141,0.37138166180203275,0.009391118517452616,0.48434874113043275,0.009152659584558619,-0.0034072775875041376,3.6870490979316847e-06,-0.21669106284062353,0.0056773958016611255,0.213566047733318,0.005679116239185946
11,1.0500999934596706,1.0500999987482262,0.36795910189321596,0.012060234285849607,0.4974783468482116,0.011515183423670318,-0.003418892810681376,3.935706680175584e-06,-0.2186942481482569,0.005359455267649097,0.21555858326086638,0.0053576816154164274
12,1.1500999928819113,1.150100000991727,0.36620600757218175,0.011601995790940758,0.511854906513345,0.010940181754103542,-0.0034136594340599415,1.7512023564481337e-06,-0.22295044882422962,0.00434453657976485,0.2198195829290176,0.004344427076458601
13,1.2500999928105885,1.250200004852247,0.3711515382453263,0.005965211262894176,0.5340257965499482,0.004987087582575257,-0.003416350459914738,2.4580512757741853e-06,-0.22868307193649476,0.0036060700320471855,0.22554973684661705,0.0036067718376618005
14,1.3499999925928252,1.350100002088672,0.38189032277863494,0.005440058718087105,0.5642991201194222,0.0057431617262534,-0.0034218456298555386,2.4586190987695054e-06,-0.23418801305800574,0.002743500364831813,0.23104963922567232,0.0027430644843012557
15,1.4500999923337898,1.4499999992711814,0.37764031939314907,0.01113741539274503,0.580688173536204,0.012134421795619061,-0.0034204681411462642,3.188835318882993e-06,-0.2351492724891455,0.0050772022887905725,0.23201216102610203,0.005078036047056084
16,1.5500999922320606,1.5500999963011224,0.3770865024700141,0.010703237151013392,0.6027076832227783,0.01117801944581191,-0.003429135817128195,3.2870574950324946e-06,-0.23940473866331657,0.00511729086498201,0.23625967626568004,0.00511838925755437
17,1.6499999919168853,1.6501000033274462,0.388195190120662,0.00913243948647321,0.6396214929349762,0.00946208263035387,-0.003423301825570059,3.319894285999728e-06,-0.24599674714683506,0.0039223248914393195,0.24285703758048124,0.003923203788815425
18,1.7499999918605538,1.7500000044120192,0.38013381565262927,0.0037638352874066246,0.6594217989711527,0.00242924023509736,-0.0034307687519340812,2.098325982437786e-06,-0.25038002210020244,0.0026738300902154712,0.24723346413079197,0.002673650074962326
19,1.849999991522589,1.8501000014599953,0.3656827003277275,0.01100553625919417,0.6759672808547683,0.010458921653254459,-0.00343474197509994,1.966240743616293e-06,-0.25263593695222303,0.004069566606060661,0.24948573406614097,0.004069008687512952
20,1.9499999910156296,1.9500999982030565,0.36942965305943076,0.014143921566768629,0.7128436446600287,0.013653666972572063,-0.0034315304258750114,2.529216169638858e-06,-0.2570458852815672,0.00656234235095015,0.2538986298530034,0.0065630467820966005
